c,kappa,steps,lr,asr,avg_l2,avg_conf_drop,efficiency
0.1,0.0,500,0.001,0.1,19.248678720354235,0.000806,4.186546041170541e-05
0.1,0.0,500,0.01,0.1,19.248652177054478,0.000806,4.186551814288858e-05
0.1,0.0,1000,0.001,0.1,19.248666025185663,0.000806,4.1865488023441015e-05
0.1,0.0,1000,0.01,0.1,19.248650836868983,0.000806,4.1865521057771325e-05
0.1,0.01,500,0.001,0.1,19.248678720434746,0.000806,4.18654604115303e-05
0.1,0.01,500,0.01,0.1,19.248652177131845,0.000806,4.186551814272031e-05
0.1,0.01,1000,0.001,0.1,19.248666025219173,0.000806,4.186548802336813e-05
0.1,0.01,1000,0.01,0.05,19.248650836743572,0.0007935,4.122143611868957e-05
0.1,0.05,500,0.001,0.1,19.248678720434746,0.000806,4.18654604115303e-05
0.1,0.05,500,0.01,0.1,19.248652177131845,0.000806,4.186551814272031e-05
0.1,0.05,1000,0.001,0.1,19.248666025219173,0.000806,4.186548802336813e-05
0.1,0.05,1000,0.01,0.05,19.248650836743572,0.0007935,4.122143611868957e-05
0.1,0.1,500,0.001,0.1,19.248678720434746,0.000806,4.18654604115303e-05
0.1,0.1,500,0.01,0.1,19.248652177131845,0.000806,4.186551814272031e-05
0.1,0.1,1000,0.001,0.1,19.248666025219173,0.000806,4.186548802336813e-05
0.1,0.1,1000,0.01,0.05,19.248650836743572,0.0007935,4.122143611868957e-05
1.0,0.0,500,0.001,0.1,19.248678722430782,0.000806,4.186546040718897e-05
1.0,0.0,500,0.01,0.1,19.248652186643515,0.000806,4.1865518122032576e-05
1.0,0.0,1000,0.001,0.1,19.24866602636133,0.000806,4.186548802088396e-05
1.0,0.0,1000,0.01,0.1,19.24865084054901,0.000806,4.186552104976732e-05
1.0,0.01,500,0.001,0.1,19.248678733804034,0.000806,4.186546038245239e-05
1.0,0.01,500,0.01,0.1,19.248652190421115,0.000806,4.1865518113816356e-05
1.0,0.01,1000,0.001,0.1,19.248666038488015,0.000806,4.1865487994508646e-05
1.0,0.01,1000,0.01,0.1,19.248650850151638,0.000806,4.1865521028881755e-05
1.0,0.05,500,0.001,0.1,19.248678733804034,0.000806,4.186546038245239e-05
1.0,0.05,500,0.01,0.1,19.248652190421115,0.000806,4.1865518113816356e-05
1.0,0.05,1000,0.001,0.1,19.248666038488015,0.000806,4.1865487994508646e-05
1.0,0.05,1000,0.01,0.1,19.248650850151638,0.000806,4.1865521028881755e-05
1.0,0.1,500,0.001,0.1,19.248678733804034,0.000806,4.186546038245239e-05
1.0,0.1,500,0.01,0.1,19.248652190421115,0.000806,4.1865518113816356e-05
1.0,0.1,1000,0.001,0.1,19.248666038488015,0.000806,4.1865487994508646e-05
1.0,0.1,1000,0.01,0.1,19.248650850151638,0.000806,4.1865521028881755e-05
10.0,0.0,500,0.001,0.1,19.24867872445028,0.000806,4.18654604027966e-05
10.0,0.0,500,0.01,0.05,19.248652235586814,0.0007935,4.1221433123034255e-05
10.0,0.0,1000,0.001,0.05,19.248666082412445,0.0007935,4.1221403469758855e-05
10.0,0.0,1000,0.01,0.1,19.248650865248397,0.000806,4.186552099604653e-05
10.0,0.01,500,0.001,0.1,19.248679790993783,0.000818,4.24847695931925e-05
10.0,0.01,500,0.01,0.1,19.24865325165868,0.000818,4.248482816963012e-05
10.0,0.01,1000,0.001,0.1,19.248667099417098,0.000818,4.248479760545476e-05
10.0,0.01,1000,0.01,0.1,19.248651898394748,0.000818,4.248483115649828e-05
10.0,0.05,500,0.001,0.1,19.248679790993783,0.000818,4.24847695931925e-05
10.0,0.05,500,0.01,0.1,19.24865325165868,0.000818,4.248482816963012e-05
10.0,0.05,1000,0.001,0.1,19.248667099417098,0.000818,4.248479760545476e-05
10.0,0.05,1000,0.01,0.1,19.248651898394748,0.000818,4.248483115649828e-05
10.0,0.1,500,0.001,0.1,19.248679790993783,0.000818,4.24847695931925e-05
10.0,0.1,500,0.01,0.1,19.24865325165868,0.000818,4.248482816963012e-05
10.0,0.1,1000,0.001,0.1,19.248667099417098,0.000818,4.248479760545476e-05
10.0,0.1,1000,0.01,0.1,19.248651898394748,0.000818,4.248483115649828e-05
