algorithm,mode,ASR,ASR_std,N,Avg_L2,Avg_Efficiency,Avg_ConfDrop
cw,full,0.4968,0.5016,155,195.3367,0.0001,0.0134
cw,lesion,0.2,0.4013,155,62.4697,0.0,0.0038
cw,random_patch,0.0719,0.2592,153,26.6754,0.0,0.001
deepfool,full,0.3613,0.4819,155,226.738,0.0001,0.0162
deepfool,lesion,0.2968,0.4583,155,226.6976,0.0001,0.0162
deepfool,random_patch,0.2338,0.4246,154,227.3193,0.0001,0.016
fgsm,full,0.5871,0.494,155,12.1569,0.0015,0.0185
fgsm,lesion,0.1548,0.3629,155,3.2245,0.0028,0.009
fgsm,random_patch,0.5871,0.494,155,12.1569,0.0015,0.0185
pgd,full,1.0,0.0,155,10.0159,0.0053,0.0531
pgd,lesion,0.5032,0.5016,155,2.9891,0.0053,0.017
pgd,random_patch,1.0,0.0,153,10.0133,0.0053,0.0531
