algorithm,mode,Mean,Median,Std,Min,Max,Q1,Q3
cw,full,195.34,220.71,102.53,0.0,484.21,162.56,258.78
cw,lesion,62.47,0.0,106.08,0.0,372.56,0.0,140.89
cw,random_patch,26.68,0.0,81.49,0.0,375.37,0.0,0.0
deepfool,full,226.74,230.06,74.77,0.0,484.33,191.04,272.52
deepfool,lesion,226.7,230.0,74.75,0.0,484.31,191.08,272.47
deepfool,random_patch,227.32,230.33,74.92,0.0,484.65,192.6,274.29
fgsm,full,12.16,12.16,0.0,12.14,12.16,12.15,12.16
fgsm,lesion,3.22,3.22,1.14,0.99,6.11,2.24,4.08
fgsm,random_patch,12.16,12.16,0.0,12.14,12.16,12.15,12.16
pgd,full,10.02,10.04,0.27,9.35,10.63,9.86,10.18
pgd,lesion,2.99,2.9,0.97,0.97,5.04,2.18,3.77
pgd,random_patch,10.01,10.04,0.27,9.35,10.63,9.86,10.18
