algorithm,mode,L2_Mean,L2_Median,L2_Std,ConfDrop_Mean,ConfDrop_Median,ConfDrop_Std,Efficiency_Mean,Efficiency_Median,Efficiency_Std,N_Success
cw,full,236.9657,232.084,67.9476,0.0155,0.0171,0.0068,0.0001,0.0001,0.0,77
cw,lesion,210.7357,206.5394,85.1853,0.0119,0.0134,0.0071,0.0001,0.0001,0.0,31
cw,random_patch,226.5007,244.181,128.6408,0.0059,0.0027,0.0081,0.0,0.0,0.0,11
deepfool,full,209.0841,223.8322,86.0941,0.0152,0.0164,0.0067,0.0001,0.0001,0.0,56
deepfool,lesion,204.9333,219.0672,91.331,0.0149,0.0166,0.0074,0.0001,0.0001,0.0,46
deepfool,random_patch,202.805,224.3382,100.0225,0.014,0.0151,0.0075,0.0001,0.0001,0.0,36
fgsm,full,12.1576,12.1574,0.0034,0.0198,0.0195,0.0043,0.0016,0.0016,0.0004,91
fgsm,lesion,3.0586,2.8577,1.1571,0.0112,0.0101,0.0064,0.0036,0.0036,0.0016,24
fgsm,random_patch,12.1576,12.1574,0.0034,0.0198,0.0195,0.0043,0.0016,0.0016,0.0004,91
pgd,full,10.0159,10.0449,0.2678,0.0531,0.054,0.0064,0.0053,0.0054,0.0007,155
pgd,lesion,3.5079,3.6411,0.9084,0.0235,0.0239,0.0091,0.0066,0.0067,0.0018,78
pgd,random_patch,10.0133,10.0419,0.268,0.0531,0.054,0.0064,0.0053,0.0054,0.0007,153
